DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
LA GUAJIRA;e3;M;H;1194
LA GUAJIRA;e4;M;H;479
LA GUAJIRA;e5;M;H;192
LA GUAJIRA;e6;M;H;57
LA GUAJIRA;e7;M;H;9
MAGDALENA;e0;M;H;0
MAGDALENA;e1;M;H;37
MAGDALENA;e2;M;H;2529
MAGDALENA;e3;M;H;1871
MAGDALENA;e4;M;H;799
MAGDALENA;e5;M;H;376
MAGDALENA;e6;M;H;117
MAGDALENA;e7;M;H;23
META;e0;M;H;0
META;e1;M;H;42
META;e2;M;H;2305
META;e3;M;H;1691
META;e4;M;H;671
META;e5;M;H;309
META;e6;M;H;82
META;e7;M;H;14
NARINO;e0;M;H;0
NARINO;e1;M;H;29
NARINO;e2;M;H;4418
NARINO;e3;M;H;3027
NARINO;e4;M;H;1040
NARINO;e5;M;H;379
NARINO;e6;M;H;102
NARINO;e7;M;H;12
NORTE DE SANTANDER;e0;M;H;0
NORTE DE SANTANDER;e1;M;H;32
NORTE DE SANTANDER;e2;M;H;3582
NORTE DE SANTANDER;e3;M;H;2237
NORTE DE SANTANDER;e4;M;H;836
NORTE DE SANTANDER;e5;M;H;423
NORTE DE SANTANDER;e6;M;H;198
NORTE DE SANTANDER;e7;M;H;44
PUTUMAYO;e0;M;H;0
PUTUMAYO;e1;M;H;8
PUTUMAYO;e2;M;H;530
PUTUMAYO;e3;M;H;515
PUTUMAYO;e4;M;H;227
PUTUMAYO;e5;M;H;62
PUTUMAYO;e6;M;H;18
PUTUMAYO;e7;M;H;4
QUINDIO;e0;M;H;0
QUINDIO;e1;M;H;12
QUINDIO;e2;M;H;1413
QUINDIO;e3;M;H;918
QUINDIO;e4;M;H;433
QUINDIO;e5;M;H;224
QUINDIO;e6;M;H;106
QUINDIO;e7;M;H;21
RISARALDA;e0;M;H;0
RISARALDA;e1;M;H;15
RISARALDA;e2;M;H;2433
RISARALDA;e3;M;H;1567
RISARALDA;e4;M;H;778
RISARALDA;e5;M;H;408
RISARALDA;e6;M;H;150
RISARALDA;e7;M;H;29
SANTANDER;e0;M;H;0
SANTANDER;e1;M;H;50
SANTANDER;e2;M;H;5758
SANTANDER;e3;M;H;4072
SANTANDER;e4;M;H;2015
SANTANDER;e5;M;H;955
SANTANDER;e6;M;H;298
SANTANDER;e7;M;H;60
SUCRE;e0;M;H;0
SUCRE;e1;M;H;9
SUCRE;e2;M;H;1838
SUCRE;e3;M;H;1178
SUCRE;e4;M;H;436
SUCRE;e5;M;H;197
SUCRE;e6;M;H;94
SUCRE;e7;M;H;13
TOLIMA;e0;M;H;0
TOLIMA;e1;M;H;45
TOLIMA;e2;M;H;2909
TOLIMA;e3;M;H;2200
TOLIMA;e4;M;H;16107
TOLIMA;e5;M;H;608
